timestamp,mode,tag,model,num_prompts,max_num_seqs,max_tokens,hook_selection,null_mode,dtype,tp_size,seed,max_model_len,num_warmups,build_seconds,warmup_seconds,bench_seconds,total_prompt_tokens,total_gen_tokens,avg_prompt_len,prompts_per_s,prefill_tokens_per_s
2026-05-06T04:21:07,dmi,trial3_bs16,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,16,1,vllm-full,True,auto,1,42,8192,2,110.27,0.244,1.771,39662,256,154.9,144.566,22397.6
2026-05-06T04:22:23,vanilla,trial3_bs32,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,32,1,,,auto,1,42,8192,2,42.54,0.531,1.601,39662,256,154.9,159.941,24779.6
2026-05-06T04:24:32,dmi,trial3_bs32,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,32,1,vllm-full,True,auto,1,42,8192,2,96.25,0.564,1.660,39662,256,154.9,154.202,23890.5
2026-05-06T04:26:20,vanilla,trial4_bs1,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,1,1,,,auto,1,42,8192,2,58.72,0.484,5.240,39662,256,154.9,48.852,7568.7
2026-05-06T04:28:55,dmi,trial4_bs1,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,1,1,vllm-full,True,auto,1,42,8192,2,108.18,0.501,6.136,39662,256,154.9,41.722,6464.0
2026-05-06T04:30:44,vanilla,trial4_bs4,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,4,1,,,auto,1,42,8192,2,59.36,0.308,2.781,39662,256,154.9,92.049,14261.2
2026-05-06T04:33:29,dmi,trial4_bs4,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,4,1,vllm-full,True,auto,1,42,8192,2,114.51,0.328,3.103,39662,256,154.9,82.507,12782.9
2026-05-06T04:35:14,vanilla,trial4_bs8,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,8,1,,,auto,1,42,8192,2,56.67,0.248,2.047,39662,256,154.9,125.055,19374.8
2026-05-06T04:37:55,dmi,trial4_bs8,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,8,1,vllm-full,True,auto,1,42,8192,2,109.66,0.264,2.175,39662,256,154.9,117.687,18233.2
2026-05-06T04:39:48,vanilla,trial4_bs16,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,16,1,,,auto,1,42,8192,2,62.94,0.258,1.741,39662,256,154.9,147.052,22782.7
2026-05-06T04:42:34,dmi,trial4_bs16,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,16,1,vllm-full,True,auto,1,42,8192,2,115.27,0.245,1.786,39662,256,154.9,143.371,22212.4
2026-05-06T04:44:26,vanilla,trial4_bs32,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,32,1,,,auto,1,42,8192,2,57.61,0.575,1.615,39662,256,154.9,158.537,24562.0
2026-05-06T04:47:15,dmi,trial4_bs32,/scratch/zt1/project/zaoxing-prj/shared/qwen3-4b,256,32,1,vllm-full,True,auto,1,42,8192,2,115.98,0.625,1.638,39662,256,154.9,156.274,24211.5
